Letter|Finished|TACE|Unicode11 |Unicode12|Unicode13|Unicode21|Unicode22|Unicode23|utf8_tace16_addend
ளா|X|0xE302|0xe0|0xae|0xb3|0xe0|0xae|0xbe|1
ளி|X|0xE303|0xe0|0xae|0xb3|0xe0|0xae|0xbf|2
ளீ|X|0xE304|0xe0|0xae|0xb3|0xe0|0xaf|0x80|3
ளு|X|0xE305|0xe0|0xae|0xb3|0xe0|0xaf|0x81|4
ளூ|X|0xE306|0xe0|0xae|0xb3|0xe0|0xaf|0x82|5
ளெ|X|0xE307|0xe0|0xae|0xb3|0xe0|0xaf|0x86|6
ளே|X|0xE308|0xe0|0xae|0xb3|0xe0|0xaf|0x87|7
ளை|X|0xE309|0xe0|0xae|0xb3|0xe0|0xaf|0x88|8
ளொ|X|0xE30A|0xe0|0xae|0xb3|0xe0|0xaf|0x8a|9
ளோ|X|0xE30B|0xe0|0xae|0xb3|0xe0|0xaf|0x8b|10
ளௌ|X|0xE30C|0xe0|0xae|0xb3|0xe0|0xaf|0x8c|11
ற்|X|0xE310|0xe0|0xae|0xb1|0xe0|0xaf|0x8d|-1
ற|X|0xE311|0xe0|0xae|0xb1||||0
றா|X|0xE312|0xe0|0xae|0xb1|0xe0|0xae|0xbe|1
றி|X|0xE313|0xe0|0xae|0xb1|0xe0|0xae|0xbf|2
றீ|X|0xE314|0xe0|0xae|0xb1|0xe0|0xaf|0x80|3
று|X|0xE315|0xe0|0xae|0xb1|0xe0|0xaf|0x81|4
றூ|X|0xE316|0xe0|0xae|0xb1|0xe0|0xaf|0x82|5
றெ|X|0xE317|0xe0|0xae|0xb1|0xe0|0xaf|0x86|6
றே|X|0xE318|0xe0|0xae|0xb1|0xe0|0xaf|0x87|7
றை|X|0xE319|0xe0|0xae|0xb1|0xe0|0xaf|0x88|8
றொ|X|0xE31A|0xe0|0xae|0xb1|0xe0|0xaf|0x8a|9
றோ|X|0xE31B|0xe0|0xae|0xb1|0xe0|0xaf|0x8b|10
றௌ|X|0xE31C|0xe0|0xae|0xb1|0xe0|0xaf|0x8c|11
ன்|X|0xE320|0xe0|0xae|0xa9|0xe0|0xaf|0x8d|-1
ன|X|0xE321|0xe0|0xae|0xa9||||0
னா|X|0xE322|0xe0|0xae|0xa9|0xe0|0xae|0xbe|1
னி|X|0xE323|0xe0|0xae|0xa9|0xe0|0xae|0xbf|2
னீ|X|0xE324|0xe0|0xae|0xa9|0xe0|0xaf|0x80|3
னு|X|0xE325|0xe0|0xae|0xa9|0xe0|0xaf|0x81|4
னூ|X|0xE326|0xe0|0xae|0xa9|0xe0|0xaf|0x82|5
னெ|X|0xE327|0xe0|0xae|0xa9|0xe0|0xaf|0x86|6
னே|X|0xE328|0xe0|0xae|0xa9|0xe0|0xaf|0x87|7
னை|X|0xE329|0xe0|0xae|0xa9|0xe0|0xaf|0x88|8
னொ|X|0xE32A|0xe0|0xae|0xa9|0xe0|0xaf|0x8a|9
னோ|X|0xE32B|0xe0|0xae|0xa9|0xe0|0xaf|0x8b|10
னௌ|X|0xE32C|0xe0|0xae|0xa9|0xe0|0xaf|0x8c|11
 ஜ்|X|0xE330|0xe0|0xae|0x9c|0xe0|0xaf|0x8d|-1
ஜ|X|0xE331|0xe0|0xae|0x9c||||0
ஜா|X|0xE332|0xe0|0xae|0x9c|0xe0|0xae|0xbe|1
ஜி|X|0xE333|0xe0|0xae|0x9c|0xe0|0xae|0xbf|2
ஜீ|X|0xE334|0xe0|0xae|0x9c|0xe0|0xaf|0x80|3
ஜு|X|0xE335|0xe0|0xae|0x9c|0xe0|0xaf|0x81|4
ஜூ|X|0xE336 |0xe0|0xae|0x9c|0xe0|0xaf|0x82|5
ஜெ|X|0xE337|0xe0|0xae|0x9c|0xe0|0xaf|0x86|6
ஜே|X|0xE338|0xe0|0xae|0x9c|0xe0|0xaf|0x87|7
ஜை|X|0xE339|0xe0|0xae|0x9c|0xe0|0xaf|0x88|8
ஜொ|X|0xE33A|0xe0|0xae|0x9c|0xe0|0xaf|0x8a|9
ஜோ|X|0xE33B|0xe0|0xae|0x9c|0xe0|0xaf|0x8b|10
ஜௌ|X|0xE33C|0xe0|0xae|0x9c|0xe0|0xaf|0x8c|11
ஶ்|X|0xE340|0xe0|0xae|0xb6|0xe0|0xaf|0x8d|-1
ஶ|X|0xE341|0xe0|0xae|0xb6||||0
ஶா|X|0xE342|0xe0|0xae|0xb6|0xe0|0xae|0xbe|1
ஶி|X|0xE343|0xe0|0xae|0xb6|0xe0|0xae|0xbf|2
ஶீ|X|0xE344|0xe0|0xae|0xb6|0xe0|0xaf|0x80|3
ஶு|X|0xE345|0xe0|0xae|0xb6|0xe0|0xaf|0x81|4
ஶூ|X|0xE346|0xe0|0xae|0xb6|0xe0|0xaf|0x82|5
ஶெ|X|0xE347|0xe0|0xae|0xb6|0xe0|0xaf|0x86|6
ஶே|X|0xE348|0xe0|0xae|0xb6|0xe0|0xaf|0x87|7
ஶை|X|0xE349|0xe0|0xae|0xb6|0xe0|0xaf|0x88|8
ஶொ|X|0xE34A|0xe0|0xae|0xb6|0xe0|0xaf|0x8a|9
